,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1631,SBILIFE,SBI Life Insurance Company Limited,EQ,03-OCT-2017,10,1,INE123W01016,10
1632,SBIN,State Bank of India,EQ,01-MAR-1995,1,1,INE062A01020,1
1633,SCHAEFFLER,Schaeffler India Limited,EQ,29-NOV-2000,2,1,INE513A01022,2
1634,SCHAND,S Chand And Company Limited,EQ,09-MAY-2017,5,1,INE807K01035,5
1635,SCHNEIDER,Schneider Electric Infrastructure Limited,EQ,20-MAR-2012,2,1,INE839M01018,2
1636,SCI,Shipping Corporation Of India Limited,EQ,13-AUG-1997,10,1,INE109A01011,10
1637,SCILAL,Shipping Corporation of India Land and Assets Limited,EQ,19-MAR-2024,10,1,INE0PB301013,10
1638,SCPL,Sheetal Cool Products Limited,EQ,22-NOV-2022,10,1,INE501Y01019,10
1639,SDBL,Som Distilleries & Breweries Limited,EQ,18-MAR-2014,2,1,INE480C01038,2
1640,SEAMECLTD,Seamec Limited,EQ,28-JUN-1995,10,1,INE497B01018,10
1641,SECMARK,SecMark Consultancy Limited,EQ,16-OCT-2023,10,1,INE0BTM01013,10
1642,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,EQ,29-JAN-2014,5,1,INE650K01021,5
1643,SEJALLTD,Sejal Glass Limited,EQ,13-DEC-2021,10,1,INE955I01044,10
1644,SELAN,Selan Exploration Technology Limited,EQ,26-SEP-2006,10,1,INE818A01017,10
1645,SELMC,SEL Manufacturing Company Limited,EQ,26-OCT-2021,10,1,INE105I01020,10
1646,SEMAC,SEMAC CONSULTANTS LIMITED,BE,11-AUG-2005,10,1,INE617A01013,10
1647,SENCO,Senco Gold Limited,EQ,14-JUL-2023,5,1,INE602W01027,5
1648,SENORES,Senores Pharmaceuticals Limited,EQ,30-DEC-2024,10,1,INE0RB801010,10
1649,SEPC,SEPC Limited,EQ,20-FEB-2008,10,1,INE964H01014,10
1650,SEQUENT,Sequent Scientific Limited,EQ,10-MAR-2016,2,1,INE807F01027,2
1651,SERVOTECH,Servotech Renewable Power System Limited,EQ,02-SEP-2021,1,1,INE782X01033,1
1652,SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-MAR-1995,2,1,INE630A01024,2
1653,SETCO,Setco Automotive Limited,BE,01-JUL-2016,2,1,INE878E01021,2
1654,SETUINFRA,Setubandhan Infrastructure Limited,BZ,04-OCT-2011,1,1,INE023M01027,1
1655,SEYAIND,Seya Industries Limited,BE,11-JUL-2019,10,1,INE573R01012,10
1656,SFL,Sheela Foam Limited,EQ,09-DEC-2016,5,1,INE916U01025,5
1657,SGIL,Synergy Green Industries Limited,BE,28-JUL-2021,10,1,INE00QT01015,10
1658,SGL,STL Global Limited,EQ,10-APR-2006,10,1,INE353H01010,10
1659,SGLTL,Standard Glass Lining Technology Limited,EQ,13-JAN-2025,10,1,INE0M4D01010,10
1660,SHAH,Shah Metacorp Limited,EQ,27-OCT-2010,1,1,INE482J01021,1
1661,SHAHALLOYS,Shah Alloys Limited,EQ,16-JUN-2005,10,1,INE640C01011,10
1662,SHAILY,Shaily Engineering Plastics Limited,BE,04-APR-2022,2,1,INE151G01028,2
1663,SHAKTIPUMP,Shakti Pumps (India) Limited,BE,29-JAN-2015,10,1,INE908D01010,10
1664,SHALBY,Shalby Limited,EQ,15-DEC-2017,10,1,INE597J01018,10
1665,SHALPAINTS,Shalimar Paints Limited,EQ,03-MAR-2008,2,1,INE849C01026,2
1666,SHANKARA,Shankara Building Products Limited,EQ,05-APR-2017,10,1,INE274V01019,10
1667,SHANTI,Shanti Overseas (India) Limited,EQ,16-SEP-2021,10,1,INE933X01016,10
1668,SHANTIGEAR,Shanthi Gears Limited,EQ,17-JAN-1996,1,1,INE631A01022,1
1669,SHARDACROP,Sharda Cropchem Limited,EQ,23-SEP-2014,10,1,INE221J01015,10
1670,SHARDAMOTR,Sharda Motor Industries Limited,EQ,03-SEP-2015,2,1,INE597I01028,2
1671,SHAREINDIA,Share India Securities Limited,EQ,21-SEP-2020,2,1,INE932X01026,2
1672,SHEKHAWATI,Shekhawati Industries Limited,BE,12-JAN-2011,10,1,INE268L01046,10
1673,SHEMAROO,Shemaroo Entertainment Limited,EQ,01-OCT-2014,10,1,INE363M01019,10
1674,SHILPAMED,Shilpa Medicare Limited,EQ,03-DEC-2009,1,1,INE790G01031,1
1675,SHIVALIK,Shivalik Rasayan Limited,EQ,09-DEC-2021,5,1,INE788J01021,5
1676,SHIVAMAUTO,Shivam Autotech Limited,EQ,21-NOV-2006,2,1,INE637H01024,2
1677,SHIVAMILLS,Shiva Mills Limited,EQ,26-FEB-2018,10,1,INE644Y01017,10
1678,SHIVATEX,Shiva Texyarn Limited,EQ,26-DEC-2017,10,1,INE705C01020,10
1679,SHK,S H Kelkar and Company Limited,EQ,16-NOV-2015,10,1,INE500L01026,10
1680,SHOPERSTOP,Shoppers Stop Limited,EQ,23-MAY-2005,5,1,INE498B01024,5
1681,SHRADHA,Shradha Infraprojects Limited,BE,22-OCT-2020,2,1,INE715Y01031,2
1682,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,28-JAN-2020,10,1,INE232A01011,10
