,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1834,TAKE,Take Solutions Limited,BZ,27-AUG-2007,1,1,INE142I01023,1
1835,TALBROAUTO,Talbros Automotive Components Limited,EQ,29-SEP-2006,2,1,INE187D01029,2
1836,TANLA,Tanla Platforms Limited,EQ,05-JAN-2007,1,1,INE483C01032,1
1837,TARACHAND,Tara Chand InfraLogistic Solutions Limited,BE,16-APR-2024,2,1,INE555Z01020,2
1838,TARAPUR,Tarapur Transformers Limited,BE,18-MAY-2010,10,1,INE747K01017,10
1839,TARC,TARC Limited,EQ,18-DEC-2020,2,1,INE0EK901012,2
1840,TARIL,Transformers And Rectifiers (India) Limited,EQ,28-DEC-2007,1,1,INE763I01026,1
1841,TARMAT,Tarmat Limited,EQ,09-JUL-2007,10,1,INE924H01018,10
1842,TARSONS,Tarsons Products Limited,EQ,26-NOV-2021,2,1,INE144Z01023,2
1843,TASTYBITE,Tasty Bite Eatables Limited,EQ,23-MAR-2017,10,1,INE488B01017,10
1844,TATACHEM,Tata Chemicals Limited,EQ,01-APR-1999,10,1,INE092A01019,10
1845,TATACOMM,Tata Communications Limited,EQ,12-APR-1995,10,1,INE151A01013,10
1846,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-NOV-1998,1,1,INE192A01025,1
1847,TATAELXSI,Tata Elxsi Limited,EQ,17-SEP-2003,10,1,INE670A01012,10
1848,TATAINVEST,Tata Investment Corporation Limited,EQ,24-JUN-1998,10,1,INE672A01018,10
1849,TATAMOTORS,Tata Motors Limited,EQ,22-JUL-1998,2,1,INE155A01022,2
1850,TATAPOWER,Tata Power Company Limited,EQ,03-APR-1996,1,1,INE245A01021,1
1851,TATASTEEL,Tata Steel Limited,EQ,18-NOV-1998,1,1,INE081A01020,1
1852,TATATECH,Tata Technologies Limited,EQ,30-NOV-2023,2,1,INE142M01025,2
1853,TATVA,Tatva Chintan Pharma Chem Limited,EQ,29-JUL-2021,10,1,INE0GK401011,10
1854,TBOTEK,TBO Tek Limited,EQ,15-MAY-2024,1,1,INE673O01025,1
1855,TBZ,Tribhovandas Bhimji Zaveri Limited,EQ,09-MAY-2012,10,1,INE760L01018,10
1856,TCI,Transport Corporation of India Limited,EQ,21-JAN-2002,2,1,INE688A01022,2
1857,TCIEXP,TCI Express Limited,EQ,15-DEC-2016,2,1,INE586V01016,2
1858,TCIFINANCE,TCI Finance Limited,BE,21-MAY-1997,10,1,INE911B01018,10
1859,TCPLPACK,TCPL Packaging Limited,EQ,17-OCT-2017,10,1,INE822C01015,10
1860,TCS,Tata Consultancy Services Limited,EQ,25-AUG-2004,1,1,INE467B01029,1
1861,TDPOWERSYS,TD Power Systems Limited,EQ,08-SEP-2011,2,1,INE419M01027,2
1862,TEAMLEASE,Teamlease Services Limited,EQ,12-FEB-2016,10,1,INE985S01024,10
1863,TECHM,Tech Mahindra Limited,EQ,28-AUG-2006,5,1,INE669C01036,5
1864,TECHNOE,Techno Electric & Engineering Company Limited,EQ,04-DEC-2018,2,1,INE285K01026,2
1865,TECILCHEM,TECIL Chemicals and Hydro Power Limited,EQ,06-DEC-1995,10,50,INE014B01011,10
1866,TEGA,Tega Industries Limited,EQ,13-DEC-2021,10,1,INE011K01018,10
1867,TEJASNET,Tejas Networks Limited,EQ,27-JUN-2017,10,1,INE010J01012,10
1868,TEMBO,Tembo Global Industries Limited,BE,23-APR-2021,10,1,INE869Y01010,10
1869,TERASOFT,Tera Software Limited,BE,29-DEC-2016,10,1,INE482B01010,10
1870,TEXINFRA,Texmaco Infrastructure & Holdings Limited,EQ,09-SEP-2004,1,1,INE435C01024,1
1871,TEXMOPIPES,Texmo Pipes and Products Limited,EQ,10-MAR-2010,10,1,INE141K01013,10
1872,TEXRAIL,Texmaco Rail & Engineering Limited,EQ,03-MAR-2011,1,1,INE621L01012,1
1873,TFCILTD,Tourism Finance Corporation of India Limited,EQ,26-JUL-2000,10,1,INE305A01015,10
1874,TFL,Transwarranty Finance Limited,BE,26-FEB-2007,10,1,INE804H01012,10
1875,TGBHOTELS,TGB Banquets And Hotels Limited,EQ,17-MAY-2007,10,1,INE797H01018,10
1876,THANGAMAYL,Thangamayil Jewellery Limited,EQ,19-FEB-2010,10,1,INE085J01014,10
1877,THEINVEST,The Investment Trust Of India Limited,EQ,02-AUG-2017,10,1,INE924D01017,10
1878,THEJO,Thejo Engineering Limited,EQ,10-OCT-2023,10,1,INE121N01019,10
1879,THEMISMED,Themis Medicare Limited,EQ,02-APR-2007,1,1,INE083B01024,1
1880,THERMAX,Thermax Limited,EQ,30-AUG-1995,2,1,INE152A01029,2
1881,THOMASCOOK,Thomas Cook  (India)  Limited,EQ,07-JUN-2000,1,1,INE332A01027,1
1882,THOMASCOTT,Thomas Scott (India) Limited,BE,30-JAN-2012,10,1,INE480M01011,10
1883,THYROCARE,Thyrocare Technologies Limited,EQ,09-MAY-2016,10,1,INE594H01019,10
1884,TI,Tilaknagar Industries Limited,EQ,16-JUL-2010,10,1,INE133E01013,10
1885,TICL,Twamev Construction and Infrastructure Limited,EQ,16-OCT-2023,1,1,INE388G01026,1
1886,TIIL,Technocraft Industries (India) Limited,EQ,12-FEB-2007,10,1,INE545H01011,10
1887,TIINDIA,Tube Investments of India Limited,EQ,02-NOV-2017,1,1,INE974X01010,1
1888,TIJARIA,Tijaria Polypipes Limited,BE,14-OCT-2011,10,1,INE440L01017,10
1889,TIL,TIL Limited,EQ,27-SEP-1995,10,1,INE806C01018,10
1890,TIMESGTY,Times Guaranty Limited,BE,11-JUN-2002,10,1,INE289C01025,10
1891,TIMETECHNO,Time Technoplast Limited,EQ,13-JUN-2007,1,1,INE508G01029,1
1892,TIMKEN,Timken India Limited,EQ,06-FEB-2007,10,1,INE325A01013,10
1893,TIPSFILMS,Tips Films Limited,BE,06-OCT-2022,10,1,INE0LQS01015,10
1894,TIPSMUSIC,Tips Music Limited,EQ,10-NOV-2000,1,1,INE716B01029,1
1895,TIRUMALCHM,Thirumalai Chemicals Limited,EQ,14-MAY-2003,1,1,INE338A01024,1
1896,TIRUPATIFL,Tirupati Forge Limited,BE,04-AUG-2020,2,1,INE319Y01024,2
1897,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,EQ,21-APR-2008,2,1,INE615H01020,2
1898,TITAN,Titan Company Limited,EQ,24-SEP-2004,1,1,INE280A01028,1
1899,TMB,Tamilnad Mercantile Bank Limited,EQ,15-SEP-2022,10,1,INE668A01016,10
1900,TNPETRO,Tamilnadu PetroProducts Limited,EQ,27-OCT-1999,10,1,INE148A01019,10
1901,TNPL,Tamil Nadu Newsprint & Papers Limited,EQ,14-FEB-1996,10,1,INE107A01015,10
1902,TNTELE,Tamilnadu Telecommunication Limited,BE,04-FEB-2003,10,1,INE141D01018,10
1903,TOKYOPLAST,Tokyo Plast International Limited,EQ,11-OCT-1995,10,1,INE932C01012,10
1904,TOLINS,Tolins Tyres Limited,BE,16-SEP-2024,5,1,INE0RWQ01014,5
1905,TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-NOV-2002,5,1,INE685A01028,5
1906,TORNTPOWER,Torrent Power Limited,EQ,28-NOV-2006,10,1,INE813H01021,10
1907,TOTAL,Total Transport Systems Limited,EQ,28-AUG-2020,10,1,INE336X01012,10
1908,TOUCHWOOD,Touchwood Entertainment Limited,BE,21-JAN-2020,10,1,INE486Y01013,10
1909,TPHQ,Teamo Productions HQ Limited,BE,30-JAN-2009,1,1,INE065J01024,1
1910,TPLPLASTEH,TPL Plastech Limited,EQ,20-MAY-2015,2,1,INE413G01022,2
1911,TRACXN,Tracxn Technologies Limited,EQ,20-OCT-2022,1,1,INE0HMF01019,1
1912,TRANSRAILL,Transrail Lighting Limited,EQ,27-DEC-2024,2,1,INE454P01035,2
1913,TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED,EQ,01-MAR-1995,10,1,INE757B01015,10
1914,TREEHOUSE,Tree House Education & Accessories Limited,EQ,26-AUG-2011,10,1,INE040M01013,10
1915,TREJHARA,TREJHARA SOLUTIONS LIMITED,EQ,28-DEC-2018,10,1,INE00CA01015,10
1916,TREL,Transindia Real Estate Limited,EQ,10-AUG-2023,2,1,INE0O3901029,2
1917,TRENT,Trent Limited,EQ,07-JUN-2004,1,1,INE849A01020,1
1918,TRF,TRF Limited,EQ,26-MAR-2010,10,1,INE391D01019,10
1919,TRIDENT,Trident Limited,EQ,21-FEB-2001,1,1,INE064C01022,1
1920,TRIGYN,Trigyn Technologies Limited,EQ,09-APR-1998,10,1,INE948A01012,10
1921,TRITURBINE,Triveni Turbine Limited,EQ,28-OCT-2011,1,1,INE152M01016,1
1922,TRIVENI,Triveni Engineering & Industries Limited,EQ,13-DEC-2005,1,1,INE256C01024,1
1923,TRU,TruCap Finance Limited,BE,20-JUN-2023,2,1,INE615R01029,2
1924,TTKHLTCARE,TTK Healthcare Limited,EQ,02-DEC-2015,10,1,INE910C01018,10
1925,TTKPRESTIG,TTK Prestige Limited,EQ,22-DEC-1999,1,1,INE690A01028,1
1926,TTL,T T Limited,EQ,22-FEB-2007,1,1,INE592B01024,1
1927,TTML,Tata Teleservices (Maharashtra) Limited,EQ,20-OCT-2000,10,1,INE517B01013,10
1928,TVSELECT,TVS Electronics Limited,EQ,26-DEC-2003,10,1,INE236G01019,10
1929,TVSHLTD,TVS Holdings Limited,EQ,23-OCT-2012,5,1,INE105A01035,5
1930,TVSMOTOR,TVS Motor Company Limited,EQ,02-AUG-2000,1,1,INE494B01023,1
1931,TVSSCS,TVS Supply Chain Solutions Limited,EQ,23-AUG-2023,1,1,INE395N01027,1
1932,TVSSRICHAK,TVS Srichakra Limited,EQ,13-FEB-2007,10,1,INE421C01016,10
1933,TVTODAY,TV Today Network Limited,EQ,16-JAN-2004,5,1,INE038F01029,5
1934,TVVISION,TV Vision Limited,BE,15-SEP-2016,10,1,INE871L01013,10
1935,UBL,United Breweries Limited,EQ,28-JUL-2008,1,1,INE686F01025,1
1936,UCAL,UCAL LIMITED,BE,13-SEP-1995,10,1,INE139B01016,10
1937,UCOBANK,UCO Bank,EQ,09-OCT-2003,10,1,INE691A01018,10
1938,UDAICEMENT,Udaipur Cement Works Limited,EQ,23-APR-2024,4,1,INE225C01029,4
1939,UDS,Updater Services Limited,EQ,04-OCT-2023,10,1,INE851I01011,10
1940,UFLEX,UFLEX Limited,EQ,23-AUG-1995,10,1,INE516A01017,10
1941,UFO,UFO Moviez India Limited,EQ,14-MAY-2015,10,1,INE527H01019,10
1942,UGARSUGAR,The Ugar Sugar Works Limited,EQ,23-AUG-2010,1,1,INE071E01023,1
1943,UGROCAP,Ugro Capital Limited,EQ,11-AUG-2021,10,1,INE583D01011,10
1944,UJJIVANSFB,Ujjivan Small Finance Bank Limited,EQ,12-DEC-2019,10,1,INE551W01018,10
1945,ULTRACEMCO,UltraTech Cement Limited,EQ,24-AUG-2004,10,1,INE481G01011,10
1946,UMAEXPORTS,Uma Exports Limited,EQ,07-APR-2022,10,1,INE0GIU01018,10
1947,UMANGDAIRY,Umang Dairies Limited,BE,02-DEC-2015,5,1,INE864B01027,5
1948,UMESLTD,Usha Martin Education & Solutions Limited,EQ,12-JUL-2010,1,1,INE240C01028,1
1949,UNICHEMLAB,Unichem Laboratories Limited,EQ,07-FEB-2001,2,1,INE351A01035,2
1950,UNIDT,United Drilling Tools Limited,EQ,25-SEP-2020,10,1,INE961D01019,10
1951,UNIECOM,Unicommerce Esolutions Limited,EQ,13-AUG-2024,1,1,INE00U401027,1
1952,UNIENTER,Uniphos Enterprises Limited,EQ,23-JAN-2004,2,1,INE037A01022,2
1953,UNIINFO,Uniinfo Telecom Services Limited,BE,12-JAN-2022,10,1,INE481Z01011,10
1954,UNIMECH,Unimech Aerospace and Manufacturing Limited,EQ,31-DEC-2024,5,1,INE0U3I01011,5
1955,UNIONBANK,Union Bank of India,EQ,24-SEP-2002,10,1,INE692A01016,10
1956,UNIPARTS,Uniparts India Limited,EQ,12-DEC-2022,10,1,INE244O01017,10
1957,UNITDSPR,United Spirits Limited,EQ,27-SEP-2001,2,1,INE854D01024,2
1958,UNITECH,Unitech Limited,BZ,08-SEP-1999,2,1,INE694A01020,2
1959,UNITEDPOLY,United Polyfab Gujarat Limited,EQ,31-DEC-2021,10,1,INE368U01011,10
1960,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,EQ,28-JAN-2015,10,1,INE458F01011,10
1961,UNIVASTU,Univastu India Limited,BE,22-JUN-2020,10,1,INE562X01013,10
1962,UNIVCABLES,Universal Cables Limited,EQ,17-MAY-1995,10,1,INE279A01012,10
1963,UNIVPHOTO,Universus Photo Imagings Limited,BE,14-FEB-2020,10,1,INE03V001013,10
1964,UNOMINDA,UNO Minda Limited,EQ,02-FEB-2007,2,1,INE405E01023,2
1965,UPL,UPL Limited,EQ,23-JAN-2004,2,1,INE628A01036,2
1966,URAVIDEF,Uravi Defence and Technology Limited,EQ,05-JUL-2023,10,1,INE568Z01015,10
1967,URJA,Urja Global Limited,BE,28-MAR-2017,1,1,INE550C01020,1
1968,USHAMART,Usha Martin Limited,EQ,11-OCT-2000,1,1,INE228A01035,1
1969,USK,Udayshivakumar Infra Limited,EQ,03-APR-2023,10,1,INE0N0Y01013,10
1970,UTIAMC,UTI Asset Management Company Limited,EQ,12-OCT-2020,10,1,INE094J01016,10
1971,UTKARSHBNK,Utkarsh Small Finance Bank Limited,EQ,21-JUL-2023,10,1,INE735W01017,10
1972,UTTAMSUGAR,Uttam Sugar Mills Limited,EQ,10-APR-2006,10,1,INE786F01031,10
1973,UYFINCORP,U. Y. Fincorp Limited,EQ,03-OCT-2024,5,1,INE152C01025,5
1974,V2RETAIL,V2 Retail Limited,BE,04-JUL-2007,10,1,INE945H01013,10
1975,VADILALIND,Vadilal Industries Limited,EQ,15-JUN-2011,10,1,INE694D01016,10
1976,VAIBHAVGBL,Vaibhav Global Limited,EQ,05-APR-2004,2,1,INE884A01027,2
1977,VAISHALI,Vaishali Pharma Limited,EQ,15-JAN-2020,2,1,INE972X01022,2
1978,VAKRANGEE,Vakrangee Limited,EQ,03-APR-2006,1,1,INE051B01021,1
1979,VALIANTLAB,Valiant Laboratories Limited,EQ,06-OCT-2023,10,1,INE0JWS01017,10
1980,VALIANTORG,Valiant Organics Limited,EQ,23-JUL-2021,10,1,INE565V01010,10
1981,VARDHACRLC,Vardhman Acrylics Limited,EQ,30-SEP-2003,10,1,INE116G01013,10
1982,VARDMNPOLY,Vardhman Polytex Limited,BE,12-MAY-2003,1,1,INE835A01029,1
1983,VARROC,Varroc Engineering Limited,EQ,06-JUL-2018,1,1,INE665L01035,1
1984,VASCONEQ,Vascon Engineers Limited,EQ,15-FEB-2010,10,1,INE893I01013,10
1985,VASWANI,Vaswani Industries Limited,EQ,20-SEP-2011,10,1,INE590L01019,10
1986,VBL,Varun Beverages Limited,EQ,08-NOV-2016,2,1,INE200M01039,2
1987,VCL,Vaxtex Cotfab Limited,EQ,19-APR-2022,1,1,INE098201036,1
1988,VEDL,Vedanta Limited,EQ,13-MAY-1998,1,1,INE205A01025,1
1989,VEEDOL,Veedol Corporation Limited,EQ,16-JAN-2007,2,1,INE484C01030,2
1990,VENKEYS,Venky's (India) Limited,EQ,28-JUL-2003,10,1,INE398A01010,10
1991,VENTIVE,Ventive Hospitality Limited,EQ,30-DEC-2024,1,1,INE781S01027,1
1992,VENUSPIPES,Venus Pipes & Tubes Limited,EQ,24-MAY-2022,10,1,INE0JA001018,10
1993,VENUSREM,Venus Remedies Limited,EQ,20-DEC-2006,10,1,INE411B01019,10
1994,VERANDA,Veranda Learning Solutions Limited,EQ,11-APR-2022,10,1,INE0IQ001011,10
1995,VERTOZ,Vertoz Limited,BE,14-MAY-2020,1,1,INE188Y01023,1
1996,VESUVIUS,Vesuvius India Limited,EQ,04-OCT-2002,10,1,INE386A01015,10
1997,VETO,Veto Switchgears And Cables Limited,EQ,29-APR-2015,10,1,INE918N01018,10
1998,VGUARD,V-Guard Industries Limited,EQ,13-MAR-2008,1,1,INE951I01027,1
1999,VHL,Vardhman Holdings Limited,EQ,30-JUN-2005,10,1,INE701A01023,10
2000,VHLTD,Viceroy Hotels Limited,BE,03-APR-2024,10,1,INE048C01025,10
2001,VIDHIING,Vidhi Specialty Food Ingredients Limited,EQ,02-MAR-2016,1,1,INE632C01026,1
2002,VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1,1,INE043W01024,1
2003,VIJIFIN,Viji Finance Limited,EQ,11-JUL-2016,1,1,INE159N01027,1
2004,VIKASECO,Vikas EcoTech Limited,EQ,12-DEC-2011,1,1,INE806A01020,1
2005,VIKASLIFE,Vikas Lifecare Limited,EQ,08-MAY-2019,1,1,INE161L01027,1
2006,VIMTALABS,Vimta Labs Limited,EQ,15-DEC-2005,2,1,INE579C01029,2
2007,VINATIORGA,Vinati Organics Limited,EQ,28-JUL-2009,1,1,INE410B01037,1
2008,VINCOFE,Vintage Coffee And Beverages Limited,EQ,18-OCT-2024,10,1,INE498Q01014,10
2009,VINDHYATEL,Vindhya Telelinks Limited,EQ,08-FEB-1995,10,1,INE707A01012,10
2010,VINEETLAB,Vineet Laboratories Limited,EQ,15-JUN-2021,10,1,INE505Y01010,10
2011,VINNY,Vinny Overseas Limited,BE,28-NOV-2022,1,1,INE01KI01027,1
2012,VINYLINDIA,Vinyl Chemicals (India) Limited,EQ,21-JUL-2008,1,1,INE250B01029,1
2013,VIPCLOTHNG,VIP Clothing Limited,EQ,06-AUG-2007,2,1,INE450G01024,2
2014,VIPIND,VIP Industries Limited,EQ,02-MAR-2005,2,1,INE054A01027,2
2015,VIPULLTD,Vipul Limited,BE,23-APR-2015,1,1,INE946H01037,1
2016,VIRINCHI,Virinchi Limited,EQ,03-MAY-2023,10,1,INE539B01017,10
2017,VISAKAIND,Visaka Industries Limited,EQ,28-AUG-1996,2,1,INE392A01021,2
2018,VISASTEEL,Visa Steel Limited,BE,17-MAR-2006,10,1,INE286H01012,10
2019,VISHNU,Vishnu Chemicals Limited,EQ,05-MAR-2015,2,1,INE270I01022,2
2020,VISHWARAJ,Vishwaraj Sugar Industries Limited,EQ,15-OCT-2019,2,1,INE430N01022,2
2021,VIVIDHA,Visagar Polytex Limited,EQ,21-MAY-2013,1,1,INE370E01029,1
2022,VLEGOV,VL E-Governance & IT Solutions Limited,BE,14-AUG-2023,10,1,INE03HW01020,10
2023,VLSFINANCE,VLS Finance Limited,EQ,25-MAY-1995,10,1,INE709A01018,10
2024,VMART,V-Mart Retail Limited,EQ,20-FEB-2013,10,1,INE665J01013,10
2025,VMM,Vishal Mega Mart Limited,EQ,18-DEC-2024,10,1,INE01EA01019,10
2026,VOLTAMP,Voltamp Transformers Limited,EQ,20-SEP-2006,10,1,INE540H01012,10
2027,VOLTAS,Voltas Limited,EQ,12-APR-1995,1,1,INE226A01021,1
2028,VPRPL,Vishnu Prakash R Punglia Limited,EQ,05-SEP-2023,10,1,INE0AE001013,10
2029,VRAJ,Vraj Iron and Steel Limited,EQ,03-JUL-2024,10,1,INE0S2V01010,10
2030,VRLLOG,VRL Logistics Limited,EQ,30-APR-2015,10,1,INE366I01010,10
2031,VSSL,Vardhman Special Steels Limited,EQ,17-MAY-2012,10,1,INE050M01012,10
2032,VSTIND,VST Industries Limited,EQ,05-SEP-2003,10,1,INE710A01016,10
2033,VSTL,Vibhor Steel Tubes Limited,EQ,20-FEB-2024,10,1,INE0QTF01015,10
2034,VSTTILLERS,V.S.T Tillers Tractors Limited,EQ,20-JUN-2011,10,1,INE764D01017,10
2035,VTL,Vardhman Textiles Limited,EQ,14-JAN-2003,2,1,INE825A01020,2
2036,WAAREEENER,Waaree Energies Limited,EQ,28-OCT-2024,10,1,INE377N01017,10
2037,WABAG,VA Tech Wabag Limited,EQ,13-OCT-2010,2,1,INE956G01038,2
2038,WALCHANNAG,Walchandnagar Industries Limited,EQ,18-SEP-1996,2,1,INE711A01022,2
2039,WANBURY,Wanbury Limited,EQ,29-JAN-2007,10,1,INE107F01022,10
2040,WCIL,Western Carriers (India) Limited,EQ,24-SEP-2024,5,1,INE0CJF01024,5
2041,WEALTH,Wealth First Portfolio Managers Limited,BE,20-JAN-2021,10,1,INE658T01017,10
2042,WEBELSOLAR,Websol Energy System Limited,BE,15-MAY-2007,10,1,INE855C01015,10
2043,WEIZMANIND,Weizmann Limited,EQ,10-MAY-1995,10,1,INE080A01014,10
2044,WEL,Wonder Electricals Limited,EQ,17-JAN-2022,1,1,INE02WG01024,1
2045,WELCORP,Welspun Corp Limited,EQ,24-MAY-2005,5,1,INE191B01025,5
2046,WELENT,Welspun Enterprises Limited,EQ,04-NOV-2004,10,1,INE625G01013,10
2047,WELINV,Welspun Investments and Commercials Limited,EQ,20-SEP-2010,10,1,INE389K01018,10
2048,WELSPUNLIV,Welspun Living Limited,EQ,04-DEC-2003,1,1,INE192B01031,1
2049,WENDT,Wendt (India) Limited,EQ,07-AUG-2006,10,1,INE274C01019,10
2050,WESTLIFE,WESTLIFE FOODWORLD LIMITED,EQ,05-JUN-2023,2,1,INE274F01020,2
2051,WEWIN,WE WIN LIMITED,BE,15-JUN-2022,10,1,INE082W01014,10
2052,WHEELS,Wheels India Limited,EQ,07-APR-2000,10,1,INE715A01015,10
2053,WHIRLPOOL,Whirlpool of India Limited,EQ,06-APR-2010,10,1,INE716A01013,10
2054,WILLAMAGOR,Williamson Magor & Company Limited,EQ,08-FEB-1995,10,1,INE210A01017,10
2055,WINDLAS,Windlas Biotech Limited,EQ,16-AUG-2021,5,1,INE0H5O01029,5
2056,WINDMACHIN,Windsor Machines Limited,EQ,17-AUG-2011,2,1,INE052A01021,2
2057,WINSOME,Winsome Yarns Limited,BZ,25-AUG-2011,10,1,INE784B01035,10
2058,WIPL,The Western India Plywoods Limited,BE,17-APR-2017,10,1,INE215F01023,10
2059,WIPRO,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2
2060,WOCKPHARMA,Wockhardt Limited,EQ,23-FEB-2000,5,1,INE049B01025,5
2061,WONDERLA,Wonderla Holidays Limited,EQ,09-MAY-2014,10,1,INE066O01014,10
2062,WORTH,Worth Peripherals Limited,EQ,04-AUG-2020,10,1,INE196Y01018,10
2063,WSI,W S Industries (I) Limited,BE,01-AUG-2007,10,1,INE100D01014,10
2064,WSTCSTPAPR,West Coast Paper Mills Limited,EQ,17-JAN-2001,2,1,INE976A01021,2
2065,XCHANGING,Xchanging Solutions Limited,EQ,09-MAR-2005,10,1,INE692G01013,10
2066,XELPMOC,Xelpmoc Design And Tech Limited,EQ,04-FEB-2019,10,1,INE01P501012,10
2067,XPROINDIA,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10
2068,XTGLOBAL,Xtglobal Infotech Limited,EQ,16-SEP-2024,1,1,INE547B01028,1
2069,YAARI,Yaari Digital Integrated Services Limited,BE,18-AUG-2011,2,1,INE126M01010,2
2070,YASHO,Yasho Industries Limited,EQ,21-AUG-2023,10,1,INE616Z01012,10
2071,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,EQ,07-AUG-2023,10,1,INE0JO301016,10
2072,YATRA,Yatra Online Limited,EQ,28-SEP-2023,1,1,INE0JR601024,1
2073,YESBANK,Yes Bank Limited,EQ,12-JUL-2005,2,1,INE528G01035,2
2074,YUKEN,Yuken India Limited,EQ,02-SEP-2021,10,1,INE384C01016,10
2075,ZAGGLE,Zaggle Prepaid Ocean Services Limited,EQ,22-SEP-2023,1,1,INE07K301024,1
2076,ZEEL,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1,1,INE256A01028,1
2077,ZEELEARN,Zee Learn Limited,EQ,20-DEC-2010,1,1,INE565L01011,1
2078,ZEEMEDIA,Zee Media Corporation Limited,EQ,10-JAN-2007,1,1,INE966H01019,1
2079,ZENITHEXPO,Zenith Exports Limited,BE,10-JUL-1996,10,1,INE058B01018,10
2080,ZENITHSTL,Zenith Steel Pipes & Industries Limited,EQ,30-APR-2007,10,1,INE318D01020,10
2081,ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,INE520A01027,2
2082,ZENTEC,Zen Technologies Limited,EQ,30-MAR-2015,1,1,INE251B01027,1
2083,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,EQ,01-OCT-2008,5,1,INE342J01019,5
2084,ZIMLAB,Zim Laboratories Limited,EQ,25-NOV-2022,10,1,INE518E01015,10
2085,ZODIAC,Zodiac Energy Limited,EQ,14-DEC-2021,10,1,INE761Y01019,10
2086,ZODIACLOTH,Zodiac Clothing Company Limited,EQ,27-SEP-1995,10,1,INE206B01013,10
2087,ZOMATO,Zomato Limited,EQ,23-JUL-2021,1,1,INE758T01015,1
2088,ZOTA,Zota Health Care LImited,EQ,19-AUG-2019,10,1,INE358U01012,10
2089,ZUARI,Zuari Agro Chemicals Limited,EQ,27-NOV-2012,10,1,INE840M01016,10
2090,ZUARIIND,ZUARI INDUSTRIES LIMITED,EQ,12-APR-1995,10,1,INE217A01012,10
2091,ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1
2092,ZYDUSWELL,Zydus Wellness Limited,EQ,13-NOV-2009,10,1,INE768C01010,10
